,precision,recall,f1-score,support
non,0.5801435406698564,0.5049453409682457,0.5399387698302255,1921.0
ss,0.753315649867374,0.8875,0.8149210903873745,1920.0
ca,0.63718820861678,0.5851119208745446,0.6100407055630936,1921.0
da,0.7278225806451613,0.7520833333333333,0.7397540983606558,1920.0
accuracy,0.6823743816714397,0.6823743816714397,0.6823743816714397,0.6823743816714397
macro avg,0.674617494949793,0.6824101487940308,0.6761636660353374,7682.0
weighted avg,0.6746003245201375,0.6823743816714397,0.6761373255176756,7682.0
