,precision,recall,f1-score,support
non,0.5508982035928144,0.4789172306090578,0.5123920913394597,1921.0
ss,0.7990970654627539,0.921875,0.8561064087061668,1920.0
ca,0.6247072599531616,0.5554398750650703,0.5880407825847341,1921.0
da,0.8161799904260412,0.8880208333333334,0.8505861810925418,1920.0
accuracy,0.7110127570945066,0.7110127570945066,0.7110127570945066,0.7110127570945066
macro avg,0.6977206298586928,0.7110632347518654,0.7017813659307256,7682.0
weighted avg,0.6976920128584101,0.7110127570945066,0.7017419061731187,7682.0
