,precision,recall,f1-score,support
non,0.5978050355067785,0.48204060385216035,0.5337175792507205,1921.0
ss,0.7713401149933657,0.9083333333333333,0.8342501793829228,1920.0
ca,0.704199634814364,0.6022904737116085,0.6492704826038159,1921.0
da,0.7716464782413638,0.8958333333333334,0.829115449505905,1920.0
accuracy,0.7220775839625098,0.7220775839625098,0.7220775839625098,0.7220775839625098
macro avg,0.711247815888968,0.7221244360576089,0.7115884226858411,7682.0
weighted avg,0.7112321310462894,0.7220775839625098,0.7115571562469557,7682.0
