,precision,recall,f1-score,support
non,0.6317388003037205,0.43310775637688703,0.5138974675725757,1921.0
ss,0.8040157136621563,0.959375,0.8748515791973402,1920.0
ca,0.629086809470124,0.5809474232170745,0.6040595399188092,1921.0
da,0.7491304347826087,0.8973958333333333,0.8165876777251185,1920.0
accuracy,0.7176516532153085,0.7176516532153085,0.7176516532153085,0.7176516532153085
macro avg,0.7034929395546523,0.7177065032318237,0.7023490661034609,7682.0
weighted avg,0.7034739132243562,0.7176516532153085,0.7023117397399208,7682.0
