,precision,recall,f1-score,support
non,0.521580547112462,0.4466423737636648,0.4812114413909142,1921.0
ss,0.7601994560290117,0.8734375,0.8128938439166262,1920.0
ca,0.604287369640788,0.5429463820926601,0.5719769673704415,1921.0
da,0.7045130641330166,0.7723958333333333,0.7368944099378882,1920.0
accuracy,0.6588128091642801,0.6588128091642801,0.6588128091642801,0.6588128091642801
macro avg,0.6476451092288196,0.6588555222974145,0.6507441656539674,7682.0
weighted avg,0.6476230547766321,0.6588128091642801,0.6507118433521522,7682.0
