,precision,recall,f1-score,support
non,0.6347517730496454,0.4659031754294638,0.53737616331432,1921.0
ss,0.8232434821034026,0.9703125,0.8907482667941669,1920.0
ca,0.6821572002294893,0.6189484643414888,0.6490174672489083,1921.0
da,0.7762577228596647,0.9161458333333333,0.8404204491161013,1920.0
accuracy,0.7427753189273627,0.7427753189273627,0.7427753189273627,0.7427753189273627
macro avg,0.7291025445605506,0.7428274932760714,0.7293905866183741,7682.0
weighted avg,0.7290841514186809,0.7427753189273627,0.7293551287242485,7682.0
