,precision,recall,f1-score,support
non,0.24367816091954023,0.055179593961478396,0.0899830220713073,1921.0
ss,0.33657519972212574,0.5046875,0.40383413211085645,1920.0
ca,0.31244281793229645,0.355543987506507,0.3326028731434137,1921.0
da,0.3748854262144821,0.42604166666666665,0.39882983910287667,1920.0
accuracy,0.33532934131736525,0.33532934131736525,0.33532934131736525,0.33532934131736525
macro avg,0.3168954011971111,0.335363187033663,0.30631246660711353,7682.0
weighted avg,0.3168852905718127,0.33532934131736525,0.3062877283829532,7682.0
