,precision,recall,f1-score,support
non,0.23812316715542522,0.21134825611660593,0.22393822393822393,1921.0
ss,0.20630861040068202,0.12604166666666666,0.15648237956676367,1920.0
ca,0.24145454545454545,0.1728266527850078,0.20145631067961164,1921.0
da,0.24817731116943714,0.4432291666666667,0.31819031594690594,1920.0
accuracy,0.2383493881801614,0.2383493881801614,0.2383493881801614,0.2383493881801614
macro avg,0.23351590854502247,0.23836143555873676,0.2250168075328763,7682.0
weighted avg,0.23351754169986752,0.2383493881801614,0.2250136001545311,7682.0
