,precision,recall,f1-score,support
non,0.25,0.1780322748568454,0.2079659470963819,1921.0
ss,0.25725232621784344,0.24479166666666666,0.2508673605551108,1920.0
ca,0.2862453531598513,0.4409161894846434,0.3471311475409836,1921.0
da,0.2683246073298429,0.21354166666666666,0.23781902552204176,1920.0
accuracy,0.26933090341057014,0.26933090341057014,0.26933090341057014,0.26933090341057014
macro avg,0.2654555716768844,0.26932044941870553,0.2609458701786295,7682.0
weighted avg,0.26545626605462536,0.26933090341057014,0.26095019266682007,7682.0
