,precision,recall,f1-score,support
non,0.2740740740740741,0.34669442998438316,0.3061365203401517,1921.0
ss,0.21341956345998384,0.1375,0.1672473867595819,1920.0
ca,0.26003594967046134,0.22592399791775117,0.24178272980501392,1921.0
da,0.23742540494458653,0.29010416666666666,0.2611345522737928,1920.0
accuracy,0.2500650872168706,0.2500650872168706,0.2500650872168706,0.2500650872168706
macro avg,0.24623874803727647,0.25005564864220026,0.2440752972946351,7682.0
weighted avg,0.2462441675279911,0.2500650872168706,0.24408307764552753,7682.0
