,precision,recall,f1-score,support
non,0.2413793103448276,0.21875,0.22950819672131148,960.0
ss,0.2422469280280866,0.43125,0.3102285500187336,960.0
ca,0.28407460545193686,0.2060353798126951,0.2388419782870929,961.0
da,0.22123893805309736,0.13020833333333334,0.16393442622950818,960.0
accuracy,0.24655037750585784,0.24655037750585784,0.24655037750585784,0.24655037750585784
macro avg,0.2472349454694871,0.24656092828650714,0.23562828781416154,3841.0
weighted avg,0.24724453663324197,0.24655037750585784,0.2356291244948366,3841.0
