,precision,recall,f1-score,support
non,0.17880794701986755,0.014055179593961478,0.026061776061776062,1921.0
ss,0.3063163778647289,0.28541666666666665,0.29549743866271233,1920.0
ca,0.2555685814771395,0.22696512233211869,0.24041907912875654,1921.0
da,0.2336471754212091,0.49114583333333334,0.31665547347212897,1920.0
accuracy,0.2543608435303306,0.2543608435303306,0.2543608435303306,0.2543608435303306
macro avg,0.24358502044573627,0.25439570048152005,0.21965844183134348,7682.0
weighted avg,0.2435781480801551,0.2543608435303306,0.21963594299920705,7682.0
