,precision,recall,f1-score,support
non,0.29003021148036257,0.2,0.23674475955610358,960.0
ss,0.3470404984423676,0.5802083333333333,0.43430799220272903,960.0
ca,0.3470464135021097,0.34235171696149846,0.34468308014667365,961.0
da,0.3226837060702875,0.21041666666666667,0.2547288776796974,960.0
accuracy,0.33324655037750583,0.33324655037750583,0.33324655037750583,0.33324655037750583
macro avg,0.3267002073737818,0.33324417924037464,0.31761617739630094,3841.0
weighted avg,0.32670550448550484,0.33324655037750583,0.3176232242337782,3841.0
