,precision,recall,f1-score,support
non,0.4915254237288136,0.453125,0.4715447154471545,960.0
ss,0.815442561205273,0.9020833333333333,0.8565776458951533,960.0
ca,0.55826859045505,0.5234131113423517,0.5402792696025779,961.0
da,0.7089627391742196,0.7333333333333333,0.720942140296979,960.0
accuracy,0.6529549596459255,0.6529549596459255,0.6529549596459255,0.6529549596459255
macro avg,0.643549828640839,0.6529886945022546,0.6473359428104661,3841.0
weighted avg,0.6435276257670599,0.6529549596459255,0.64730807072684,3841.0
