,precision,recall,f1-score,support
non,0.2519407198306281,0.18584070796460178,0.21390053924505692,1921.0
ss,0.302407221664995,0.3140625,0.3081246806336229,1920.0
ca,0.26945871197155274,0.3550234252993233,0.3063791554357592,1921.0
da,0.2925287356321839,0.26510416666666664,0.27814207650273226,1920.0
accuracy,0.28000520697734965,0.28000520697734965,0.28000520697734965,0.28000520697734965
macro avg,0.27908384727484,0.28000769998264796,0.27663661295429287,7682.0
weighted avg,0.2790790609870571,0.28000520697734965,0.2766323180400482,7682.0
