,precision,recall,f1-score,support
non,0.26424050632911394,0.260801665799063,0.2625098244694786,1921.0
ss,0.2840366972477064,0.403125,0.3332615715823466,1920.0
ca,0.30660643704121965,0.2826652785007808,0.2941495124593716,1921.0
da,0.25503875968992246,0.17135416666666667,0.20498442367601247,1920.0
accuracy,0.27948450924238477,0.27948450924238477,0.27948450924238477,0.27948450924238477
macro avg,0.2774806000769906,0.27948652774162763,0.27372633304680233,7682.0
weighted avg,0.27748266799461835,0.27948450924238477,0.27372753151996493,7682.0
