,precision,recall,f1-score,support
non,0.26767485822306236,0.368558042686101,0.31011826544021026,1921.0
ss,0.2660377358490566,0.2203125,0.24102564102564103,1920.0
ca,0.23561477892186553,0.20249869859448205,0.21780515117581187,1921.0
da,0.23997772828507796,0.22447916666666667,0.2319698600645856,1920.0
accuracy,0.253970320229107,0.253970320229107,0.253970320229107,0.253970320229107
macro avg,0.25232627531976565,0.25396210198681246,0.2502297294265622,7682.0
weighted avg,0.2523260979032732,0.253970320229107,0.2502333045317123,7682.0
