,precision,recall,f1-score,support
non,0.6818681318681319,0.6460176991150443,0.6634589681903235,1921.0
ss,0.9010880316518298,0.9489583333333333,0.9244038559107052,1920.0
ca,0.7151548672566371,0.6730869338885996,0.6934835076427996,1921.0
da,0.8877952755905512,0.9395833333333333,0.9129554655870445,1920.0
accuracy,0.8018745118458734,0.8018745118458734,0.8018745118458734,0.8018745118458734
macro avg,0.7964765765917876,0.8019115749175776,0.7985754493327182,7682.0
weighted avg,0.79645107149493,0.8018745118458734,0.7985441803372961,7682.0
