,precision,recall,f1-score,support
non,0.2441077441077441,0.22644456012493494,0.2349446394815015,1921.0
ss,0.366738894907909,0.35260416666666666,0.3595326606479023,1920.0
ca,0.2557741659538067,0.3112961998958876,0.2808170932143696,1921.0
da,0.32925407925407923,0.2942708333333333,0.3107810781078108,1920.0
accuracy,0.2961468367612601,0.2961468367612601,0.2961468367612601,0.2961468367612601
macro avg,0.29896872105588473,0.2961539400052056,0.29651886786289605,7682.0
weighted avg,0.29895595673252495,0.2961468367612601,0.29650880850295985,7682.0
