,precision,recall,f1-score,support
non,0.3045186640471513,0.4034357105674128,0.3470667263770712,1921.0
ss,0.30150462962962965,0.2713541666666667,0.2856359649122807,1920.0
ca,0.3111801242236025,0.260801665799063,0.28377230246389124,1921.0
da,0.2857142857142857,0.2677083333333333,0.2764183920408712,1920.0
accuracy,0.3008331163759438,0.3008331163759438,0.3008331163759438,0.3008331163759438
macro avg,0.30072942590366725,0.30082496909161893,0.29822334644852855,7682.0
weighted avg,0.3007312795793329,0.3008331163759438,0.29822782345138515,7682.0
