,precision,recall,f1-score,support
non,0.43784277879341865,0.2493492972410203,0.3177446102819237,1921.0
ss,0.5428571428571428,0.7223958333333333,0.6198882681564246,1920.0
ca,0.581651376146789,0.4950546590317543,0.5348706411698537,1921.0
da,0.5195996663886572,0.6489583333333333,0.5771190365910144,1920.0
accuracy,0.5288987242905493,0.5288987242905493,0.5288987242905493,0.5288987242905493
macro avg,0.5204877410465019,0.5289395307348603,0.5124056390498041,7682.0
weighted avg,0.5204849447269037,0.5288987242905493,0.5123832235295428,7682.0
