,precision,recall,f1-score,support
non,0.25057471264367814,0.45393024466423737,0.32290316608035546,1921.0
ss,0.10526315789473684,0.0010416666666666667,0.0020629190304280558,1920.0
ca,0.25577812018489987,0.25923997917751174,0.25749741468459153,1921.0
da,0.25402504472271914,0.29583333333333334,0.273339749759384,1920.0
accuracy,0.25253840145795364,0.25253840145795364,0.25253840145795364,0.25253840145795364
macro avg,0.2164102588615085,0.2525113059604373,0.21395081238868977,7682.0
weighted avg,0.21641983088898903,0.25253840145795364,0.21397066385393157,7682.0
