,precision,recall,f1-score,support
non,0.24370240187463385,0.21655387818844352,0.22932745314222713,1921.0
ss,0.2719518314099348,0.28229166666666666,0.2770253002811142,1920.0
ca,0.25271542360608257,0.1816762103071317,0.2113870381586917,1921.0
da,0.2560553633217993,0.346875,0.29462508294625084,1920.0
accuracy,0.2568341577714137,0.2568341577714137,0.2568341577714137,0.2568341577714137
macro avg,0.25610625505311263,0.25684918879056046,0.253091218632071,7682.0
weighted avg,0.25610419898898534,0.2568341577714137,0.253082696379277,7682.0
