,precision,recall,f1-score,support
non,0.5963963963963964,0.5169182717334722,0.5538204127161183,1921.0
ss,0.7562254259501966,0.9015625,0.8225231646471846,1920.0
ca,0.6528497409326425,0.5903175429463821,0.6200109349371241,1921.0
da,0.7388247112004018,0.7661458333333333,0.7522372794681668,1920.0
accuracy,0.6936995574069252,0.6936995574069252,0.6936995574069252,0.6936995574069252
macro avg,0.6860740686199094,0.6937360370032969,0.6871479479421484,7682.0
weighted avg,0.6860580699216653,0.6936995574069252,0.6871218525830973,7682.0
