,precision,recall,f1-score,support
non,0.297165991902834,0.38209266007287873,0.3343202004099294,1921.0
ss,0.25432756324900135,0.2984375,0.27462257368799425,1920.0
ca,0.27073552425665104,0.2701717855283706,0.27045336112558627,1921.0
da,0.23320537428023033,0.1265625,0.16407832545577314,1920.0
accuracy,0.26933090341057014,0.26933090341057014,0.26933090341057014,0.26933090341057014
macro avg,0.2638586134221792,0.26931611140031236,0.26086861516982074,7682.0
weighted avg,0.26386384438928606,0.26933090341057014,0.2608794243772142,7682.0
