,precision,recall,f1-score,support
non,0.2576617480136209,0.23633524206142634,0.2465381482487103,1921.0
ss,0.30185851318944845,0.5244791666666667,0.3831811263318113,1920.0
ca,0.22727272727272727,0.04685059864653826,0.07768666378938283,1921.0
da,0.26828153564899454,0.30572916666666666,0.2857838364167478,1920.0
accuracy,0.27831293933871387,0.27831293933871387,0.27831293933871387,0.27831293933871387
macro avg,0.2637686310311978,0.2783485435103245,0.24829744369666307,7682.0
weighted avg,0.26376308523755343,0.27831293933871387,0.24827500551970977,7682.0
