,precision,recall,f1-score,support
non,0.28878281622911695,0.2520833333333333,0.26918798665183535,960.0
ss,0.25793650793650796,0.40625,0.3155339805825243,960.0
ca,0.2989985693848355,0.21748178980228927,0.25180722891566265,961.0
da,0.24116161616161616,0.19895833333333332,0.2180365296803653,960.0
accuracy,0.26868003124186407,0.26868003124186407,0.26868003124186407,0.26868003124186407
macro avg,0.2717198774280192,0.268693364117239,0.2636414314575969,3841.0
weighted avg,0.2717269794045765,0.26868003124186407,0.2636383504363675,3841.0
