,precision,recall,f1-score,support
non,0.29760403530895335,0.122852680895367,0.17391304347826086,1921.0
ss,0.3300711743772242,0.5796875,0.42063492063492064,1920.0
ca,0.3534932221063608,0.35294117647058826,0.35321698358947645,1921.0
da,0.2858036272670419,0.23802083333333332,0.25973287865870986,1920.0
accuracy,0.32335329341317365,0.32335329341317365,0.32335329341317365,0.32335329341317365
macro avg,0.3167430147648951,0.3233755476748222,0.30187445659034196,7682.0
weighted avg,0.3167453072965126,0.32335329341317365,0.3018644827702283,7682.0
