,precision,recall,f1-score,support
non,0.2382709541381128,0.23529411764705882,0.23677317967522263,1921.0
ss,0.29865125240847784,0.16145833333333334,0.20960108181203516,1920.0
ca,0.27872168284789645,0.3586673607496096,0.31368085590712497,1921.0
da,0.2879120879120879,0.3411458333333333,0.31227651966626935,1920.0
accuracy,0.27414735745899504,0.27414735745899504,0.27414735745899504,0.27414735745899504
macro avg,0.2758889943266437,0.27414141126583375,0.26808290926516304,7682.0
weighted avg,0.275884466163188,0.27414735745899504,0.26808476922572694,7682.0
