,precision,recall,f1-score,support
non,0.2286624203821656,0.1868818323789693,0.20567172729876826,1921.0
ss,0.28,0.12760416666666666,0.17531305903398928,1920.0
ca,0.23835784313725492,0.6074960957834461,0.3423793457532639,1921.0
da,0.26099706744868034,0.04635416666666667,0.07872622733303848,1920.0
accuracy,0.2421244467586566,0.2421244467586566,0.2421244467586566,0.2421244467586566
macro avg,0.25200433274202527,0.24208406537393717,0.20052258985476498,7682.0
weighted avg,0.2519995177977445,0.2421244467586566,0.20054172626368744,7682.0
