,precision,recall,f1-score,support
non,0.2650957290132548,0.28110359187922956,0.27286508337544213,1921.0
ss,0.3039945836154367,0.23385416666666667,0.26435089785104504,1920.0
ca,0.2742809503959983,0.3425299323269131,0.30462962962962964,1921.0
da,0.2786885245901639,0.25677083333333334,0.2672811059907834,1920.0
accuracy,0.2785732882061963,0.2785732882061963,0.2785732882061963,0.2785732882061963
macro avg,0.2805149469037134,0.27856463105153567,0.27728167921172503,7682.0
weighted avg,0.28051212820879046,0.2785732882061963,0.2772846642878226,7682.0
