,precision,recall,f1-score,support
non,0.24600638977635783,0.20041644976574702,0.22088353413654618,1921.0
ss,0.21796028880866425,0.2515625,0.23355899419729206,1920.0
ca,0.26692456479690524,0.215512753774076,0.23847926267281105,1921.0
da,0.25446808510638297,0.31145833333333334,0.2800936768149883,1920.0
accuracy,0.24472793543348087,0.24472793543348087,0.24472793543348087,0.24472793543348087
macro avg,0.24633983212207755,0.24473750921828907,0.2432538669554094,7682.0
weighted avg,0.24634246832232867,0.24472793543348087,0.2432503333785933,7682.0
