,precision,recall,f1-score,support
non,0.9338274219163578,0.91875,0.926227356261486,1920.0
ss,0.9953051643192489,0.9932326913066112,0.9942678478374153,1921.0
ca,0.9285341679707877,0.9270833333333334,0.9278081834766745,1920.0
da,0.9561000510464522,0.9750130140551796,0.9654639175257732,1921.0
accuracy,0.9535277271543868,0.9535277271543868,0.9535277271543868,0.9535277271543868
macro avg,0.9534417013132116,0.953519759673781,0.9534418262753372,7682.0
weighted avg,0.9534474969149741,0.9535277271543868,0.9534487057484969,7682.0
