,precision,recall,f1-score,support
non,0.9685430463576159,0.9140625,0.9405144694533762,1920.0
ss,0.9917398038203408,1.0,0.9958527734577501,1921.0
ca,0.9402834008097166,0.9677083333333333,0.9537987679671458,1920.0
da,0.974961676034747,0.9932326913066112,0.9840123775141826,1921.0
accuracy,0.9687581359021088,0.9687581359021088,0.9687581359021088,0.9687581359021088
macro avg,0.9688819817556051,0.9687508811599861,0.9685445970981137,7682.0
weighted avg,0.968885748680409,0.9687581359021088,0.9685501654340648,7682.0
