,precision,recall,f1-score,support
non,0.8190364277320799,0.7260416666666667,0.7697404748757593,1920.0
ss,0.9681818181818181,0.9979177511712649,0.9828249166880287,1921.0
ca,0.7971089313371192,0.8041666666666667,0.8006222452683432,1920.0
da,0.9224430441105187,0.9906298802706923,0.9553212851405622,1921.0
accuracy,0.879718823223119,0.879718823223119,0.879718823223119,0.879718823223119
macro avg,0.8766925553403839,0.8796889911938226,0.8771272304931734,7682.0
weighted avg,0.8767104204473368,0.879718823223119,0.8771511684964073,7682.0
