,precision,recall,f1-score,support
non,0.9706227967097533,0.8604166666666667,0.9122032026504694,1920.0
ss,0.9876479670612455,0.9989588755856325,0.9932712215320911,1921.0
ca,0.9134948096885813,0.9625,0.9373573421252853,1920.0
da,0.9508440913604767,0.9968766267568975,0.9733163913595934,1921.0
accuracy,0.9546992970580578,0.9546992970580578,0.9546992970580578,0.9546992970580578
macro avg,0.9556524162050142,0.9546880422522991,0.9540370394168598,7682.0
weighted avg,0.9556559552867653,0.9546992970580578,0.9540446563830222,7682.0
