,precision,recall,f1-score,support
non,0.9714285714285714,0.8854166666666666,0.9264305177111717,1920.0
ss,0.9871266735324408,0.9979177511712649,0.9924928811804297,1921.0
ca,0.9097633136094675,0.9609375,0.9346504559270516,1920.0
da,0.9694189602446484,0.9901093180635085,0.9796549060005151,1921.0
accuracy,0.9586045300702942,0.9586045300702942,0.9586045300702942,0.9586045300702942
macro avg,0.959434379703782,0.95859530897536,0.958307190204792,7682.0
weighted avg,0.9594392842695681,0.9586045300702942,0.9583144192345722,7682.0
