,precision,recall,f1-score,support
non,0.9147109330280481,0.8322916666666667,0.8715571311698936,1920.0
ss,0.9765066394279878,0.9953149401353462,0.9858210879092549,1921.0
ca,0.8363467779323134,0.9395833333333333,0.8849644346333088,1920.0
da,0.9593406593406594,0.9089016137428423,0.9334402566158782,1921.0
accuracy,0.9190315022129654,0.9190315022129654,0.9190315022129654,0.9190315022129654
macro avg,0.9217262524322521,0.919022888469547,0.9189457275820838,7682.0
weighted avg,0.9217382798722292,0.9190315022129654,0.918956319861355,7682.0
