,precision,recall,f1-score,support
non,0.9907460960092539,0.8921875,0.9388873664017539,1920.0
ss,0.9922520661157025,1.0,0.9961109670728545,1921.0
ca,0.9234125060591372,0.9921875,0.956565402962591,1920.0
da,0.981064483111566,0.9979177511712649,0.9894193548387097,1921.0
accuracy,0.9705805779744858,0.9705805779744858,0.9705805779744858,0.9705805779744858
macro avg,0.971868787823915,0.9705731877928162,0.9702457728189773,7682.0
weighted avg,0.9718726382500512,0.9705805779744858,0.9702516357161751,7682.0
