,precision,recall,f1-score,support
non,0.9681093394077449,0.8854166666666666,0.9249183895538629,960.0
ss,0.9958549222797928,1.0,0.9979231568016614,961.0
ca,0.9124378109452737,0.9552083333333333,0.9333333333333333,960.0
da,0.9667673716012085,1.0,0.9831029185867896,960.0
accuracy,0.9601666232751888,0.9601666232751888,0.9601666232751888,0.9601666232751888
macro avg,0.960792361058505,0.9601562499999999,0.9598194495689119,3841.0
weighted avg,0.9608014895566099,0.9601666232751888,0.9598293698259367,3841.0
