,precision,recall,f1-score,support
non,0.9902912621359223,0.85,0.9147982062780269,1920.0
ss,0.986125385405961,0.9989588755856325,0.9925006464959917,1921.0
ca,0.8892508143322475,0.9953125,0.939297124600639,1920.0
da,0.9798865394533265,0.9890681936491411,0.9844559585492227,1921.0
accuracy,0.9583441812028117,0.9583441812028117,0.9583441812028117,0.9583441812028117
macro avg,0.9613885003318643,0.9583348923086935,0.95776298398097,7682.0
weighted avg,0.9613941284136394,0.9583441812028117,0.9577709806793667,7682.0
