,precision,recall,f1-score,support
non,0.9719679633867276,0.8848958333333333,0.9263904034896401,1920.0
ss,0.9891864057672503,1.0,0.9945638105099663,1921.0
ca,0.9092233009708738,0.9755208333333333,0.9412060301507538,1920.0
da,0.9927536231884058,0.9984383133784487,0.9955878536205555,1921.0
accuracy,0.9647227284561312,0.9647227284561312,0.9647227284561312,0.9647227284561312
macro avg,0.9657828233283143,0.9647137450112788,0.9644370244427289,7682.0
weighted avg,0.9657893807850052,0.9647227284561312,0.9644450012215945,7682.0
