,precision,recall,f1-score,support
non,0.9794594594594594,0.94375,0.9612732095490716,1920.0
ss,0.992764857881137,1.0,0.9963692946058091,1921.0
ca,0.9634020618556701,0.9734375,0.9683937823834197,1920.0
da,0.9795605518650996,0.9979177511712649,0.9886539453326457,1921.0
accuracy,0.9787815673001823,0.9787815673001823,0.9787815673001823,0.9787815673001823
macro avg,0.9787967327653415,0.9787763127928162,0.9786725579677366,7682.0
weighted avg,0.9787986504878378,0.9787815673001823,0.9786761609518555,7682.0
