,precision,recall,f1-score,support
non,0.5224755700325733,0.4174908901613743,0.46412037037037035,1921.0
ss,0.7954324586977648,0.8526041666666667,0.8230266465560583,1920.0
ca,0.5404494382022472,0.5007808433107757,0.5198594974331262,1921.0
da,0.6362061498484193,0.7651041666666667,0.6947268857886025,1920.0
accuracy,0.6339494923197084,0.6339494923197084,0.6339494923197084,0.6339494923197084
macro avg,0.6236409041952511,0.6339950167013708,0.6254333500370394,7682.0
weighted avg,0.6236169056531846,0.6339494923197084,0.6253986081947756,7682.0
