,precision,recall,f1-score,support
non,0.6331068560840025,0.5335762623633524,0.5790960451977402,1921.0
ss,0.7994567677682209,0.9197916666666667,0.8554129329135384,1920.0
ca,0.683970336565887,0.6241540864133264,0.6526946107784432,1921.0
da,0.7563065207044265,0.8276041666666667,0.7903506590400398,1920.0
accuracy,0.7262431658422286,0.7262431658422286,0.7262431658422286,0.7262431658422286
macro avg,0.7182101202806342,0.726281545527503,0.7193885619824403,7682.0
weighted avg,0.7181945848669514,0.7262431658422286,0.7193616176361779,7682.0
