,precision,recall,f1-score,support
non,0.5525083612040134,0.4299843831337845,0.48360655737704916,1921.0
ss,0.6982178217821782,0.9182291666666667,0.7932508436445445,1920.0
ca,0.6105702364394993,0.45705361790733995,0.5227746353081274,1921.0
da,0.704136690647482,0.815625,0.7557915057915058,1920.0
accuracy,0.6551679250195261,0.6551679250195261,0.6551679250195261,0.6551679250195261
macro avg,0.6413582775182932,0.6552230419269478,0.6388558855303067,7682.0
weighted avg,0.6413427037149356,0.6551679250195261,0.63882056522591,7682.0
