,precision,recall,f1-score,support
non,0.6570762052877138,0.4398750650702759,0.5269722482070471,1921.0
ss,0.7444037444037443,0.9526041666666667,0.8357322366917981,1920.0
ca,0.7074954296160878,0.6043727225403436,0.6518809657495789,1921.0
da,0.7645778938207136,0.9151041666666667,0.8330962541488858,1920.0
accuracy,0.7279354334808643,0.7279354334808643,0.7279354334808643,0.7279354334808643
macro avg,0.7183883182820648,0.7279890302359882,0.7119204261993275,7682.0
weighted avg,0.7183789190368605,0.7279354334808643,0.7118885350722196,7682.0
