,precision,recall,f1-score,support
non,0.6213712168004941,0.523685580426861,0.5683615819209039,1921.0
ss,0.7708061002178649,0.9213541666666667,0.8393831553973903,1920.0
ca,0.6610549943883277,0.6132222800624675,0.636240885768296,1921.0
da,0.8187311178247734,0.846875,0.8325652841781874,1920.0
accuracy,0.7262431658422286,0.7262431658422286,0.7262431658422286,0.7262431658422286
macro avg,0.717990857307865,0.7262842567889989,0.7191377268161944,7682.0
weighted avg,0.7179708683071587,0.7262431658422286,0.7191073085675685,7682.0
