,precision,recall,f1-score,support
non,0.45267489711934156,0.4583333333333333,0.4554865424430642,960.0
ss,0.808529945553539,0.928125,0.8642095053346266,960.0
ca,0.5346420323325635,0.481789802289282,0.5068418171866448,961.0
da,0.6670366259711432,0.6260416666666667,0.645889306824288,960.0
accuracy,0.6235355376204114,0.6235355376204114,0.6235355376204114,0.6235355376204114
macro avg,0.6157208752441469,0.6235724505723205,0.6181067929471559,3841.0
weighted avg,0.615699766459218,0.6235355376204114,0.6180778252367262,3841.0
